#Trace: RRC_with_e_good_compensation
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 101
#Resistor: 10000 O
#Average: 9
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic

Frequency (Hz),Gain (X),Phase (rad),Real (Ohm),Imag (Ohm),VReal (V),VImag (V),IReal (A),IImag (A),Resistor (Ohm),Amplitude (V)
100,2.016169178302916,-0.02038043618888308,19963.36947816711,-614.1209714868446,0.4724041068762029,-0.01440657508312848,2.365242867181652e-05,-7.213114462786877e-07,10000,1
109.6478196143185,2.015427737005572,-0.02225909312126884,19953.51307366478,-669.4424394582985,0.472309888226512,-0.015734079137936,2.36557060311008e-05,-7.880435282747851e-07,10000,1
120.2264434617413,2.014878104312205,-0.024370907605664,19946.0939394272,-733.5633239067427,0.4722271390269011,-0.01722636521455733,2.365714717944832e-05,-8.629886416259024e-07,10000,1
131.8256738556407,2.013779343935056,-0.02676842986009043,19934.43287655173,-804.5527594650725,0.4721135771198218,-0.01892125777368229,2.366328155408256e-05,-9.483714761763391e-07,10000,1
144.5439770745928,2.01276966836598,-0.02925565526302498,19921.71334853751,-879.1697974499751,0.4719739147390926,-0.02067835496493623,2.366691859791263e-05,-1.036906762028205e-06,10000,1
158.4893192461114,2.011350659085718,-0.03201662020690188,19905.83027490759,-962.9536794752546,0.4717929185749075,-0.02262869960853505,2.367303689547533e-05,-1.135434678306698e-06,10000,1
173.7800828749376,2.009624739807447,-0.03502034015028332,19885.39610733758,-1051.853514109854,0.4715985486459599,-0.02475143603992587,2.368182131671624e-05,-1.24291961311717e-06,10000,1
190.5460717963248,2.007622755094882,-0.03835821505748038,19861.80913188436,-1151.073437451931,0.4713408502977171,-0.02710859858688728,2.369030641722697e-05,-1.362519303513201e-06,10000,1
208.9296130854039,2.005346652983667,-0.04194179260662667,19835.04482382644,-1257.200382566411,0.4710899843233503,-0.02964158354001178,2.370200744477291e-05,-1.491360583157687e-06,10000,1
229.0867652767772,2.002601881336709,-0.04586389118971645,19802.28956165514,-1374.569257239055,0.4707414041270488,-0.03241077671170599,2.371385085691099e-05,-1.632710270139327e-06,10000,1
251.1886431509579,1.999310745422518,-0.05015112608061845,19763.06782853159,-1500.774466605215,0.4703269707911452,-0.03543721608638317,2.372827741755816e-05,-1.787828779602459e-06,10000,1
275.4228703338166,1.995493933384053,-0.05474580985735433,19718.0936416879,-1635.498200411429,0.4698595619916727,-0.03868101355679002,2.374568550612163e-05,-1.954854721023729e-06,10000,1
301.9951720402016,1.990887783649356,-0.05978974237950672,19664.80707156209,-1784.23302769919,0.4693058251731306,-0.04224200922147334,2.37673265212927e-05,-2.13928652113329e-06,10000,1
331.1311214825911,1.985118426877528,-0.06517384703950907,19597.57224562116,-1941.104518708183,0.4685983085884065,-0.0460394839691427,2.379429958900215e-05,-2.337774708971594e-06,10000,1
363.0780547701014,1.978657403617922,-0.07109774760819398,19520.8894065621,-2112.294335692842,0.4678068829512383,-0.05021821957880443,2.382422610449729e-05,-2.557487419302116e-06,10000,1
398.1071705534973,1.970981584510336,-0.07736687303594159,19431.75834860312,-2292.427191225944,0.4668395075264976,-0.05463480041079164,2.385886215178495e-05,-2.792231914128164e-06,10000,1
436.5158322401661,1.961950902975331,-0.0841241982758951,19326.32743003103,-2484.676155202241,0.4657182835568733,-0.05939452529317511,2.390080478981917e-05,-3.048145208674844e-06,10000,1
478.6300923226385,1.95124418494324,-0.09126630566265688,19201.34079758009,-2685.619141376565,0.4644320278284875,-0.06442664484775421,2.395355319565618e-05,-3.322869595781284e-06,10000,1
524.8074602497722,1.938809436093965,-0.09888879586668874,19057.58190414316,-2897.284061503341,0.462899578121961,-0.06978951720073476,2.401348084104639e-05,-3.620416421645932e-06,10000,1
575.4399373371566,1.924340968099945,-0.1069061939140328,18889.8638365388,-3116.511964837016,0.4611261154503382,-0.07542672995947501,2.408487732282284e-05,-3.939580685343527e-06,10000,1
630.957344480193,1.907459689179262,-0.1152892814204884,18696.63512354093,-3340.668611591815,0.4590690671763776,-0.08131668675989173,2.417057086751897e-05,-4.281427089241579e-06,10000,1
691.8309709189363,1.888143664025602,-0.1239828161608503,18476.2945522621,-3568.072539980866,0.4566965561927376,-0.08741564754500662,2.426971402175054e-05,-4.645431935440523e-06,10000,1
758.5775750291837,1.866165246655304,-0.1328548588320001,18226.75640755321,-3792.862679210055,0.4540035768604622,-0.09363269957830606,2.438585844213463e-05,-5.02928583351947e-06,10000,1
831.7637711026708,1.841053067144193,-0.1419075756540208,17943.8520340236,-4015.420492387788,0.4509643675319278,-0.09997508427294607,2.452467121586224e-05,-5.436917521867252e-06,10000,1
912.0108393559096,1.812899376422075,-0.1508538357323531,17631.43653890238,-4224.714932812922,0.4475526559512431,-0.1062315786296191,2.468570697546046e-05,-5.859425894853926e-06,10000,1
1000,1.781618001524075,-0.1596600007074626,17286.0610494195,-4421.079707385295,0.4437610235501764,-0.1123808260480895,2.48715679045074e-05,-6.298631916472602e-06,10000,1
1096.478196143185,1.747116183779903,-0.167978394964275,16910.43012906792,-4592.993865931593,0.4395993353182033,-0.1181791646504766,2.508755490289366e-05,-6.744382994575857e-06,10000,1
1202.264434617413,1.709810722311407,-0.175778888354345,16508.71462924538,-4740.285561106726,0.4351499188623367,-0.1236219564010584,2.533556721914672e-05,-7.197593864546451e-06,10000,1
1318.256738556408,1.669787390087797,-0.1826966669368606,16083.89258384599,-4854.732371533786,0.4303377303215493,-0.1284250707300356,2.561482113827486e-05,-7.644194279600289e-06,10000,1
1445.439770745928,1.627488249490919,-0.1885566978621857,15642.83644456725,-4932.576886934208,0.4253073878225251,-0.1324950912475945,2.593202231787368e-05,-8.078546861911245e-06,10000,1
1584.893192461114,1.583386552001387,-0.1931657120117412,15189.55347056115,-4969.79658227602,0.4201099391811267,-0.1356981271076138,2.628842234499813e-05,-8.49132416096489e-06,10000,1
1737.800828749376,1.538350696312366,-0.1963635625124598,14734.42997279492,-4966.272819622845,0.4147951494984083,-0.137908393578678,2.66785278371905e-05,-8.869903424666498e-06,10000,1
1905.460717963248,1.492879636643539,-0.1980126552374269,14283.37755656544,-4922.146985388125,0.4095013665821915,-0.1390561824516838,2.710789640294828e-05,-9.205147761901626e-06,10000,1
2089.296130854041,1.447949819283617,-0.1980118443966763,13845.22212976152,-4839.184777836434,0.4042945196963216,-0.1390547381862854,2.756837181908909e-05,-9.481980434474043e-06,10000,1
2290.867652767774,1.403956072250045,-0.1963549151069904,13424.16305253185,-4718.999963653397,0.3992366169083285,-0.1379051978376544,2.805990245998602e-05,-9.692513752911057e-06,10000,1
