#Trace: RRC_no_e_good_compensation
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 101
#Resistor: 10000 O
#Average: 9
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic

Frequency (Hz),Gain (X),Phase (rad),Real (Ohm),Imag (Ohm),VReal (V),VImag (V),IReal (A),IImag (A),Resistor (Ohm),Amplitude (V)
100,15.37084011771683,-1.438918762796454,11337.21651510641,-160748.8586238959,0.04977347140504179,-0.7007567830256839,3.088714208058548e-07,-4.348576402299288e-06,10000,1
109.6478196143185,13.95481323752205,-1.427241726970934,11304.67336711188,-146644.8677057666,0.05386064743961465,-0.6996175708854423,3.663141968853535e-07,-4.758202152937512e-06,10000,1
120.2264434617413,12.66444213777997,-1.414715110417193,11143.94940033878,-133703.1967864028,0.0581513865265126,-0.6982807728672384,4.334459819543166e-07,-5.20481132702255e-06,10000,1
131.8256738556407,11.49084927529645,-1.400537789600265,11035.63614569855,-121962.332317208,0.06317830439581332,-0.6966415495817806,5.160343476451043e-07,-5.690101547023021e-06,10000,1
144.5439770745928,10.43027774840088,-1.385304548164127,10962.7592512518,-111303.9297568673,0.06852863244706982,-0.6947700943897814,6.128914005755473e-07,-6.213732873736425e-06,10000,1
158.4893192461114,9.461434285344785,-1.368489580046757,10878.91528252254,-101503.048439655,0.07446301862716874,-0.6924637815910927,7.293861359202286e-07,-6.782876805576535e-06,10000,1
173.7800828749376,8.583257268036316,-1.35070899167168,10792.86343928648,-92650.03501518542,0.08056181055481561,-0.6898407689882887,8.638430071699917e-07,-7.396980284421896e-06,10000,1
190.5460717963248,7.783052411987475,-1.331068308105959,10725.38346340959,-84525.53379081417,0.08736094878614463,-0.6866866043162917,1.025515295242307e-06,-8.060897066127624e-06,10000,1
208.9296130854039,7.057867966611662,-1.309804376039559,10660.18127078078,-77133.98212010543,0.0946783427725104,-0.6829494233672081,1.216228510905182e-06,-8.773099907348837e-06,10000,1
229.0867652767772,6.398438046250951,-1.286824287722612,10591.45350591082,-70352.81684546622,0.1025038276879571,-0.6785773704805385,1.440814564879803e-06,-9.538220970269825e-06,10000,1
251.1886431509579,5.801709079785209,-1.261900349821548,10544.17050436806,-64197.05668090697,0.1109711731115079,-0.6734322483286356,1.706034977765949e-06,-1.035312990383332e-05,10000,1
275.4228703338166,5.261963626490868,-1.235095089567827,10496.87383485954,-58579.27618560664,0.1199845087861214,-0.6674260665308707,2.016551292793109e-06,-1.121727222058125e-05,10000,1
301.9951720402016,4.774475352869178,-1.206258884280945,10446.67746405629,-53451.89314004977,0.1296039717783313,-0.6604488955306184,2.379992305614807e-06,-1.21282030793247e-05,10000,1
331.1311214825911,4.334027707477473,-1.17552498682109,10399.60976585566,-48773.4130581116,0.1396727676887249,-0.6523986242584016,2.801108336689032e-06,-1.308371886298766e-05,10000,1
363.0780547701014,3.937836745442691,-1.142455473023229,10372.96581922623,-44504.15508457337,0.1504583735086077,-0.6430305688885938,3.292940997109633e-06,-1.407340564243731e-05,10000,1
398.1071705534973,3.581557670436183,-1.107563153648328,10332.65204667432,-40614.86357243719,0.1615757584978705,-0.6323821087647632,3.856130994861553e-06,-1.509229028459645e-05,10000,1
436.5158322401661,3.262196736033535,-1.070681673798576,10299.4653765396,-37063.42437165459,0.1731163749429389,-0.6202983870513974,4.501039893012566e-06,-1.612780874489753e-05,10000,1
478.6300923226385,2.976369423728144,-1.031818972083741,10272.34961414553,-33819.04725139881,0.1850450551603276,-0.6066783763438798,5.236297601311542e-06,-1.716743267775853e-05,10000,1
524.8074602497722,2.722513501984115,-0.9912890742422283,10246.8778131868,-30869.02333911553,0.1972054097715683,-0.591478069246386,6.064052182903297e-06,-1.818790813653474e-05,10000,1
575.4399373371566,2.49686269934727,-0.9492538482776647,10223.70555082688,-28175.3938752116,0.2094584841545935,-0.5746701527716379,6.988899104094405e-06,-1.91747387653737e-05,10000,1
630.957344480193,2.296874921375025,-0.9059333011450671,10202.08793419145,-25718.64090319908,0.2216992117194005,-0.5563098417833265,8.013733749152503e-06,-2.010886245156014e-05,10000,1
