#Trace: bridge3_with_e_good_compensation
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 101
#Resistor: 10000 O
#Average: 9
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic

Frequency (Hz),Gain (X),Phase (rad),Real (Ohm),Imag (Ohm),VReal (V),VImag (V),IReal (A),IImag (A),Resistor (Ohm),Amplitude (V)
100,2.01411108595855,-0.04144200564333378,19923.38359170586,-1242.191311738505,0.4717391864692736,-0.02928549793616293,2.363184422184167e-05,-1.467061344566815e-06,10000,1
109.6478196143185,2.012583883718025,-0.04530577339955699,19901.99640917869,-1356.019994054807,0.471514255040572,-0.03201492835547931,2.363554378980065e-05,-1.604808832361073e-06,10000,1
120.2264434617413,2.011424337974461,-0.04964272699643522,19883.79490779533,-1485.88291948838,0.4712717799916636,-0.03507669677334092,2.363337913495663e-05,-1.759029309289302e-06,10000,1
131.8256738556407,2.009807793151743,-0.05442293079794891,19861.43704988241,-1627.165632031425,0.4709772689942496,-0.03845171388558971,2.363321428166111e-05,-1.929472298516302e-06,10000,1
144.5439770745928,2.007670510702511,-0.05957336139690161,19830.88842534042,-1779.849532360905,0.4705989736457384,-0.04208619720602309,2.363417121416452e-05,-2.113630598924809e-06,10000,1
158.4893192461114,2.005641148208192,-0.06525157406589965,19800.78090456369,-1949.260560731279,0.4701799543631668,-0.04609120186265728,2.36307418424423e-05,-2.316494530056201e-06,10000,1
173.7800828749376,2.003054775123877,-0.07139344704038653,19762.43180438135,-2129.77611006116,0.4696977073383892,-0.05042432066908363,2.362953008050494e-05,-2.536744343060485e-06,10000,1
190.5460717963248,1.999725701583079,-0.07822707601035561,19714.17306662444,-2330.41361366189,0.4690723823750094,-0.05524105237024104,2.362824030878187e-05,-2.782617159648832e-06,10000,1
208.9296130854039,1.996097491738055,-0.08562270776834044,19660.38476910743,-2546.760935303182,0.4683534938970329,-0.06045061950709395,2.362408008311948e-05,-3.049171821965177e-06,10000,1
229.0867652767772,1.99129152947794,-0.09367230636056945,19590.85441310724,-2782.120411088004,0.4674694295789803,-0.06611843839587231,2.362341871388193e-05,-3.34127422265974e-06,10000,1
