#Trace: bridge3_no_e_good_compensation
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 101
#Resistor: 10000 O
#Average: 10
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation: Open Short
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic

Frequency (Hz),Gain (X),Phase (rad),Real (Ohm),Imag (Ohm),VReal (V),VImag (V),IReal (A),IImag (A),Resistor (Ohm),Amplitude (V)
100,7.185444010427059,-1.377634544975261,5627.882022023988,-79569.62133747777,0.0493314077460006,-0.6936618367677716,6.184359211367629e-07,-8.695989362145753e-06,10000,1
109.6478196143185,6.490607480119574,-1.360250492223673,5594.618421472518,-72565.91273460809,0.05336185483907459,-0.6912340499580305,7.332930933388789e-07,-9.49886686367058e-06,10000,1
120.2264434617413,5.86179267444517,-1.341477949698667,5535.739505635746,-66187.26869530641,0.05766338685130617,-0.6883346506288796,8.682015445999114e-07,-1.03638242481086e-05,10000,1
131.8256738556407,5.292311545344613,-1.320938512821519,5489.442052054113,-60397.0219842818,0.0624416293846952,-0.6848680072916971,1.029726987528033e-06,-1.129418109284094e-05,10000,1
144.5439770745928,4.774508954868571,-1.298814015923641,5446.020832633867,-55101.30742521417,0.06747937361962052,-0.680855008625908,1.218862578886966e-06,-1.229810899460671e-05,10000,1
158.4893192461114,4.305355897008665,-1.27471580397552,5407.707813254831,-50262.19691033183,0.07300385524300608,-0.6760655815670357,1.444077781254144e-06,-1.337314696274411e-05,10000,1
173.7800828749376,3.880447288824172,-1.248891481479714,5371.724426085341,-45862.6326742611,0.07879600243086328,-0.670542133365669,1.706567909303013e-06,-1.452263631827617e-05,10000,1
190.5460717963248,3.496398978415339,-1.221059247605995,5338.340172550819,-41845.50498785187,0.08499490631187211,-0.6640261337185648,2.015002274847124e-06,-1.574228654469326e-05,10000,1
208.9296130854039,3.149533304164063,-1.19106140328043,5311.834889865821,-38179.70922602143,0.09166700981150135,-0.6564985538121026,2.378329440858998e-06,-1.703306174842387e-05,10000,1
229.0867652767772,2.83696617170488,-1.159198398606158,5280.234072975491,-34833.30926820864,0.0985699549845719,-0.6478059033448949,2.797809074133081e-06,-1.838731928952393e-05,10000,1
251.1886431509579,2.555776123250978,-1.125275203902284,5253.046578485548,-31786.71351277496,0.1058111695603824,-0.637844510157102,3.284472797197065e-06,-1.979926080730977e-05,10000,1
275.4228703338166,2.303950592737146,-1.089223333774299,5233.809489530502,-29008.82615697013,0.1134524066584825,-0.626451676678528,3.84913866593003e-06,-2.125384063732185e-05,10000,1
301.9951720402016,2.078094506234582,-1.051280367088721,5210.583591209773,-26470.62353544208,0.1212822299144558,-0.6135792606304283,4.495718006699003e-06,-2.274429924729221e-05,10000,1
331.1311214825911,1.876682104154481,-1.011546919335025,5191.639278601364,-24157.54227359078,0.1292981681124748,-0.5991450795516844,5.233034496694524e-06,-2.424896590252811e-05,10000,1
363.0780547701014,1.697427020795093,-0.9702222067026487,5173.575930448947,-22047.56289181711,0.137402978303906,-0.5831447747584706,6.067496442032128e-06,-2.575074346795337e-05,10000,1
398.1071705534973,1.538388951759033,-0.9274041588407136,5157.389193354957,-20121.92952706536,0.1455772915414737,-0.5654987026429069,7.008614034304563e-06,-2.722514000471683e-05,10000,1
436.5158322401661,1.397992561645387,-0.883462619497731,5144.43597539518,-18365.14031480587,0.1537093120316487,-0.5463370868734444,8.059726878823677e-06,-2.8647110872928e-05,10000,1
478.6300923226385,1.274262788721338,-0.838768945347762,5130.970556974199,-16762.39792236417,0.1616335561708654,-0.5257498147404606,9.220775481910191e-06,-2.999266437133236e-05,10000,1
524.8074602497722,1.16582000108685,-0.7935689375801843,5119.096671470583,-15299.56641767893,0.1693500234107487,-0.5038800457262158,1.049723274568615e-05,-3.123321750635997e-05,10000,1
575.4399373371566,1.070971745728968,-0.7483190737842463,5106.781167981771,-13964.19816041576,0.1766865848654797,-0.4809363616803053,1.188294679801093e-05,-3.234507703811853e-05,10000,1
630.957344480193,0.9885923012622593,-0.7033280207515223,5097.0534057918,-12747.08700340381,0.1836539319149018,-0.4571523499416812,1.337760683181302e-05,-3.329961050108607e-05,10000,1
691.8309709189363,0.9171040186525061,-0.6589545565857361,5087.281047114128,-11635.31556483632,0.1901478505913661,-0.4327890759101119,1.497331529294391e-05,-3.408025527919475e-05,10000,1
758.5775750291837,0.8553115963588664,-0.6155548728355207,5078.548823595221,-10620.11378437364,0.1961198673201489,-0.4081374889280217,1.665954683320632e-05,-3.466954013426998e-05,10000,1
831.7637711026708,0.8022193157815101,-0.5734434117926046,5069.728795913277,-9694.31291338576,0.2015666773359845,-0.3834797588570902,1.842348116449587e-05,-3.505059570185086e-05,10000,1
912.0108393559096,0.7567782472788112,-0.5328226831245075,5063.045068477368,-8849.771282766702,0.2065021527198863,-0.3590456898275067,2.025227762698596e-05,-3.521267403455552e-05,10000,1
1000,0.7179382994477059,-0.4939053376178603,5056.984814716899,-8078.485608032396,0.2109147151240804,-0.3350857246815617,2.212801791474764e-05,-3.515536084984731e-05,10000,1
1096.478196143185,0.6848919525384982,-0.456843175055461,5051.898674584625,-7374.453261929122,0.214841345088038,-0.311806054417376,2.403190982658863e-05,-3.487827252278723e-05,10000,1
1202.264434617413,0.6567276178590582,-0.4217659646459413,5046.441874743296,-6731.444569104652,0.2182418178694645,-0.2893505240919626,2.593751013335219e-05,-3.438860720641073e-05,10000,1
1318.256738556408,0.6328544210099039,-0.3887139982649735,5041.481756395416,-6144.845640713989,0.2212155842982315,-0.2678840626156227,2.782806436671368e-05,-3.369877832492249e-05,10000,1
1445.439770745928,0.6126975257972163,-0.3576825790796359,5037.639059753199,-5609.122749939239,0.2238012223524779,-0.2474604517104554,2.968109747828549e-05,-3.281884572404466e-05,10000,1
1584.893192461114,0.5956628242718949,-0.3286869482973154,5033.868622302158,-5120.042458649693,0.2260170376103327,-0.2281603480609911,3.147361115112894e-05,-3.1772074136103e-05,10000,1
1737.800828749376,0.581296983908574,-0.301671422404015,5030.420005423248,-4673.352092667268,0.2279161123009758,-0.2100104667782558,3.318811582386027e-05,-3.058077652033498e-05,10000,1
1905.460717963248,0.5691715484143363,-0.276555999201215,5027.311893227826,-4265.535262850251,0.2295146389660629,-0.1929882202128241,3.480665426563394e-05,-2.92673020272186e-05,10000,1
2089.296130854041,0.5589854585942413,-0.2533064381168922,5024.347231317101,-3893.49876426946,0.2308733482899417,-0.1771283012023726,3.631626558477389e-05,-2.786219577396512e-05,10000,1
2290.867652767774,0.5503928757282046,-0.231765340815644,5021.53429016042,-3553.398185378014,0.2320207567807254,-0.162351474104615,3.771197462379841e-05,-2.638813335720542e-05,10000,1
2511.886431509579,0.5431661523677334,-0.2119049943429493,5018.90844777263,-3243.44987244095,0.2329687083543901,-0.1486546366391937,3.898202567750023e-05,-2.487397944333976e-05,10000,1
2754.228703338166,0.5371471501254519,-0.1935468411563846,5017.003977229456,-2959.986617161774,0.2337937509980489,-0.1359486347478253,4.013238483047954e-05,-2.333656440168735e-05,10000,1
